patient_id,model,seed,scenario,split,ckpt,dice,recall,hd95,pred_voxels,gt_voxels,pred_empty,gt_empty,complete_miss,hd95_failed,both_empty,seconds,peak_gpu_gb
BraTS20_Training_027,A,2,C0,test,best.pt,0.7279981147895853,0.9965790421317969,12.206555615733702,115825,66648,False,False,False,False,False,0.6209824085235596,6.93477376
BraTS20_Training_027,A,2,C1,test,best.pt,0.7188319589022577,0.9972542311847318,11.74734012447073,118277,66648,False,False,False,False,False,0.3726029396057129,6.93477376
BraTS20_Training_027,A,2,C2,test,best.pt,0.7140332500738592,0.9972392269835554,12.0,119517,66648,False,False,False,False,False,0.37218165397644043,6.93477376
BraTS20_Training_035,A,2,C0,test,best.pt,0.871527432207382,0.833305842796422,4.58257569495584,71902,78815,False,False,False,False,False,0.3943464756011963,6.93477376
BraTS20_Training_035,A,2,C1,test,best.pt,0.860356796400388,0.7933261435006027,5.0990195135927845,66534,78815,False,False,False,False,False,0.3736295700073242,6.93477376
BraTS20_Training_035,A,2,C2,test,best.pt,0.8573742920885533,0.7923491721119076,5.0990195135927845,66860,78815,False,False,False,False,False,0.37529921531677246,6.93477376
BraTS20_Training_051,A,2,C0,test,best.pt,0.9328931567807672,0.9553426009706342,2.23606797749979,127421,121570,False,False,False,False,False,0.37349796295166016,6.93477376
BraTS20_Training_051,A,2,C1,test,best.pt,0.9305110708814929,0.9618738175536727,2.23606797749979,129765,121570,False,False,False,False,False,0.39406609535217285,6.93477376
BraTS20_Training_051,A,2,C2,test,best.pt,0.9304362686845965,0.9628526774697705,2.0,130041,121570,False,False,False,False,False,0.3720977306365967,6.93477376
BraTS20_Training_052,A,2,C0,test,best.pt,0.8886017463487216,0.9877478183282192,3.4641016151377544,56205,45951,False,False,False,False,False,0.3726770877838135,6.93477376
BraTS20_Training_052,A,2,C1,test,best.pt,0.899901444485371,0.9836129790428935,2.8284271247461903,54500,45951,False,False,False,False,False,0.37265872955322266,6.93477376
BraTS20_Training_052,A,2,C2,test,best.pt,0.8962453140805681,0.9833518312985572,3.0,54883,45951,False,False,False,False,False,0.37612175941467285,6.93477376
BraTS20_Training_054,A,2,C0,test,best.pt,0.9178772296843738,0.8739791992454141,3.0,72867,80574,False,False,False,False,False,0.37243175506591797,6.93477376
BraTS20_Training_054,A,2,C1,test,best.pt,0.9038588886882186,0.8385211110283715,3.1622776601683795,68925,80574,False,False,False,False,False,0.3722715377807617,6.93477376
BraTS20_Training_054,A,2,C2,test,best.pt,0.9055403693579572,0.842840122123762,3.0,69416,80574,False,False,False,False,False,0.37264227867126465,6.93477376
BraTS20_Training_057,A,2,C0,test,best.pt,0.9312319317788618,0.9154852302155115,2.449489742783178,88050,91132,False,False,False,False,False,0.3735651969909668,6.93477376
BraTS20_Training_057,A,2,C1,test,best.pt,0.9315330212395115,0.9148817100469648,2.449489742783178,87874,91132,False,False,False,False,False,0.37240052223205566,6.93477376
